iter	Passed	Remaining
0	152	152469
1	153	76456
2	153	51106
3	155	38648
4	158	31489
5	161	26701
6	161	22975
7	163	20262
8	164	18127
9	166	16524
10	169	15219
11	171	14132
12	172	13110
13	173	12239
14	174	11475
15	175	10789
16	176	10180
17	177	9671
18	178	9192
19	179	8776
20	180	8402
21	181	8051
22	181	7726
23	183	7450
24	184	7190
25	185	6952
26	186	6725
27	187	6504
28	188	6297
29	189	6113
30	189	5938
31	190	5774
32	191	5625
33	192	5479
34	193	5340
35	194	5208
36	195	5080
37	195	4956
38	196	4843
39	197	4736
40	198	4632
41	198	4533
42	199	4439
43	200	4349
44	200	4262
45	201	4177
46	202	4095
47	202	4017
48	203	3942
49	203	3871
50	204	3802
51	204	3735
52	205	3670
53	205	3608
54	206	3547
55	207	3491
56	207	3436
57	208	3381
58	208	3330
59	209	3281
60	210	3236
61	210	3190
62	211	3145
63	212	3101
64	212	3059
65	213	3016
66	213	2976
67	214	2936
68	214	2897
69	215	2860
70	215	2824
71	216	2790
72	217	2755
73	217	2721
74	218	2689
75	218	2657
76	219	2627
77	219	2598
78	220	2568
79	220	2539
80	221	2512
81	222	2486
82	222	2456
83	222	2430
84	223	2404
85	223	2380
86	224	2355
87	224	2331
88	225	2308
89	226	2286
90	226	2263
91	227	2244
92	228	2226
93	228	2206
94	229	2186
95	230	2166
96	230	2146
97	231	2127
98	231	2108
99	232	2089
100	232	2070
101	233	2053
102	233	2036
103	234	2019
104	234	2002
105	235	1987
106	236	1971
107	236	1955
108	237	1940
109	237	1925
110	238	1911
111	239	1896
112	239	1883
113	240	1870
114	241	1857
115	242	1844
116	242	1829
117	242	1816
118	243	1802
119	244	1789
120	244	1776
121	244	1762
122	245	1748
123	245	1736
124	246	1727
125	247	1717
126	247	1704
127	248	1692
128	249	1681
129	249	1670
130	250	1659
131	250	1647
132	251	1636
133	251	1625
134	251	1614
135	252	1604
136	253	1594
137	253	1584
138	254	1575
139	254	1565
140	255	1555
141	255	1544
142	256	1534
143	256	1525
144	257	1515
145	257	1506
146	257	1496
147	258	1487
148	258	1478
149	259	1469
150	260	1463
151	260	1454
152	261	1446
153	261	1438
154	262	1430
155	262	1421
156	263	1413
157	263	1405
158	264	1397
159	264	1389
160	264	1380
161	265	1372
162	266	1366
163	266	1360
164	267	1353
165	268	1347
166	268	1340
167	269	1333
168	269	1327
169	270	1320
170	271	1313
171	271	1306
172	271	1299
173	272	1293
174	273	1287
175	273	1280
176	274	1274
177	274	1268
178	275	1262
179	275	1256
180	276	1250
181	276	1244
182	277	1238
183	277	1231
184	278	1225
185	278	1219
186	279	1213
187	279	1208
188	280	1203
189	281	1198
190	281	1193
191	282	1187
192	282	1182
193	283	1176
194	283	1171
195	284	1165
196	284	1160
197	285	1155
198	285	1150
199	286	1145
200	286	1140
201	287	1135
202	287	1130
203	288	1125
204	289	1121
205	289	1116
206	290	1111
207	290	1106
208	290	1101
209	291	1096
210	292	1092
211	292	1088
212	293	1083
213	293	1079
214	294	1075
215	295	1071
216	295	1067
217	296	1062
218	296	1058
219	297	1054
220	297	1050
221	298	1046
222	299	1041
223	299	1038
224	300	1033
225	300	1029
226	301	1025
227	301	1021
228	302	1017
229	302	1012
230	302	1008
231	303	1004
232	303	1000
233	304	996
234	304	992
235	305	988
236	306	985
237	306	981
238	306	977
239	307	974
240	308	970
241	308	967
242	309	963
243	309	960
244	310	956
245	311	953
246	311	950
247	312	946
248	312	943
249	313	939
250	313	936
251	314	932
252	314	928
253	315	925
254	315	921
255	315	918
256	316	914
257	317	911
258	317	908
259	318	905
260	319	904
261	320	901
262	320	898
263	321	895
264	321	892
265	322	889
266	322	885
267	323	883
268	324	880
269	324	878
270	325	875
271	326	872
272	326	869
273	327	866
274	327	864
275	328	861
276	329	858
277	329	856
278	330	853
279	331	851
280	331	848
281	332	845
282	332	842
283	333	839
284	333	837
285	334	834
286	334	831
287	335	829
288	335	826
289	336	824
290	337	821
291	337	819
292	338	817
293	339	815
294	340	812
295	340	810
296	341	807
297	341	804
298	342	802
299	342	799
300	343	797
301	343	794
302	344	792
303	344	789
304	345	786
305	345	784
306	346	782
307	347	779
308	347	777
309	348	774
310	348	772
